key,type,title,date,publicationTitle,university,url,extra
7VXLFDFV,journalArticle,2自由度铰接车体车辆越障偏移饱和控制,2016-00-00 2016,哈尔滨工业大学学报,,,"source_line: 寇伟、刘昕晖、陈伟，`哈尔滨工业大学学报`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
PL2KDUHX,journalArticle,A Linear Stability of Articulated Buses,1988-00-00 1988,International Journal of Vehicle Design,,,"source_line: F. Vik, `International Journal of Vehicle Design`
section: 国外
origin: 李
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
JBNA9MBU,journalArticle,A Novel Forestry Chassis with an Articulated Body with 3 Degrees of Freedom and Installed Luffing Wheel-Legs,2018-00-00 2018,Advances in Mechanical Engineering,,,"source_line: Y. Zhu, J. Kan, W. Li, F. Kang, `Advances in Mechanical Engineering`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
QRFIW2FD,journalArticle,A Tube-based Model Predictive Control for Path Tracking of Autonomous Articulated Vehicle,2024-00-00 2024,Actuators,,,"source_line: T. Lee, Y. Jeong, `Actuators`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
AA77DGFT,journalArticle,An Active Stability Controller Design for E-Drive Articulated Steer Vehicles,2016-00-00 2016,Chinese Control Conference,,,"source_line: Y. Gao, Y. H. Shen, S. R. Cao, T. Xu, W. Zhang, `Chinese Control Conference`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
WBXN8ISB,journalArticle,Analysis of Driver Behavior During Reverse Driving of Double Articulated Vehicles,2014-00-00 2014,HVTT 2014,,,"source_line: K. Kural, I. Besselink, J. Pauwelussen, H. Nijmeijer, `HVTT 2014`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
IQRZXMA6,journalArticle,Analysis of a Flow Volume Regulated Frame Steering System and Experimental Verifications,2015-00-00 2015,SAE Technical Paper,,,"source_line: Y. Yin, S. Rakheja, J. Yang, P. E. Boileau, `SAE Technical Paper`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
GJH9AZ6J,journalArticle,Articulated Hybrid Mobile Robot Mechanism with Compounded Mobility and Manipulation and On-board Wireless Sensor/Actuator Control Interfaces,2010-00-00 2010,Mechatronics,,,"source_line: Pinhas Ben-Tzvi, Andrew A. Goldenberg, Jean W. Zu, `Mechatronics`
section: 国外
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
FP9SWNA3,journalArticle,Articulated Off-road Vehicle,1963-00-00 1963,The Engineer,,,"source_line: R. M. Ogorkiewicz, `The Engineer`
section: 国外
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
EDVKIY9S,journalArticle,Autonomous Inspection System for Underground Pits Using an Articulated Mobile Robot,2024-00-00 2024,Journal of Robotics and Mechatronics,,,"source_line: T. Motoyasu, M. Sota, T. Shigeaki et al., `Journal of Robotics and Mechatronics`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
YUVHM6AG,journalArticle,Autonomous Navigation of a Center-Articulated and Hydrostatic Transmission Rover Using a Modified Pure Pursuit Algorithm in a Cotton Field,2020-00-00 2020,Sensors,,,"source_line: K. Fue, W. Porter, E. Barnes, C. Li, G. Rains, `Sensors`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
4NU5CQJP,journalArticle,Center-Articulated Hydrostatic Cotton Harvesting Rover Using Visual-servoing Control and a Finite State Machine,2020-00-00 2020,Electronics,,,"source_line: K. Fue, W. Porter, E. Barnes, C. Li, G. Rains, `Electronics`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
XT58JZVD,journalArticle,Concept and Preliminary Simulations of a Driver-aid System for Transport Tasks of Articulated Vehicles with a Hydrostatic Steering System,2020-00-00 2020,Applied Sciences,,,"source_line: M. J. Lopatka, A. Rubiec, `Applied Sciences`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
2UVEV9DE,journalArticle,Control of an Articulated Wheeled Mobile Robot in Pipes,2019-00-00 2019,Advanced Robotics,,,"source_line: H. Sawabe, M. Nakajima, M. Tanaka, K. Tanaka, `Advanced Robotics`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
Y6RCJZ3W,journalArticle,Data-driven Analysis of Locomotion for a Class of Articulated Mobile Robots,2021-00-00 2021,Journal of Mechanisms and Robotics,,,"source_line: L. Carbonari, A. Botta, T. Bottinelli, M. Quaglia, `Journal of Mechanisms and Robotics`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
GL2PIE62,journalArticle,Design and Steering Control of a Center-Articulated Mobile Robot Module,2011-00-00 2011,Journal of Robotics,,,"source_line: Mehdi Delrobaei, Kenneth A. McIsaac, `Journal of Robotics`
section: 国外
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
QH266CX8,journalArticle,Dynamic Stability of Heavy Articulated Vehicles,1984-00-00 1984,International Journal of Vehicle Design,,,"source_line: A. G. Nalecz, J. Genin, `International Journal of Vehicle Design`
section: 国外
origin: 李
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
4YXCETHI,journalArticle,"Evaluation of a Simple Pure Pursuit Path-Following Algorithm for an Autonomous, Articulated-Steer Vehicle",2014-00-00 2014,Applied Engineering in Agriculture,,,"source_line: G. C. Rains, A. G. Faircloth, C. Thai et al., `Applied Engineering in Agriculture`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
YECR7Y43,journalArticle,Generic Differential Kinematic Modeling of Articulated Mobile Robots,2010-00-00 2010,Mechanism and Machine Theory,,,"source_line: Faiz Benamar, Philippe Bidaud, Frederic Le Menn, `Mechanism and Machine Theory`
section: 国外
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
6DNCTNJJ,journalArticle,Hybrid Intelligent Path Planning for Articulated Rovers in Rough Terrain,2008-00-00 2008,Fuzzy Sets and Systems,,,"source_line: Mahmoud Tarokh, `Fuzzy Sets and Systems`
section: 国外
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
KTYCJG9M,journalArticle,Integration of Trajectory Tracking and Active Trailer Steering Control for Autonomous Articulated Heavy Vehicles Based on the Tyre Cornering Stiffness Estimation,2026-00-00 2026,International Journal of Automotive Technology,,,"source_line: W. Gao, Z. Deng, T. He, H. Liu, `International Journal of Automotive Technology`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
7MA3CD6V,journalArticle,Kinematics Modeling and Analyses of Articulated Rovers,2005-00-00 2005,IEEE Transactions on Robotics,,,"source_line: M. Tarokh, G. J. McDermott, `IEEE Transactions on Robotics`
section: 国外
origin: 马
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
