key,title,status,score,candidate_title,pdf_url,saved_file,note
PL2KDUHX,A Linear Stability of Articulated Buses,no_match,0.473,Vibration and handling stability analysis of articulated vehicle with hydraulically interconnected suspension,,,
JBNA9MBU,A Novel Forestry Chassis with an Articulated Body with 3 Degrees of Freedom and Installed Luffing Wheel-Legs,downloaded,0.991,A novel forestry chassis with an articulated body with 3 degreesof freedom and installed luffingwheel-legs,https://journals.sagepub.com/doi/pdf/10.1177/1687814017747101,results/oa_pdfs_铰接车辆发展历程_en/A Novel Forestry Chassis with an Articulated Body with 3 Degrees of Freedom and Installed Luffing Wheel-Legs.pdf,downloaded
QRFIW2FD,A Tube-based Model Predictive Control for Path Tracking of Autonomous Articulated Vehicle,download_failed,1.000,A Tube-Based Model Predictive Control for Path Tracking of Autonomous Articulated Vehicle,https://www.mdpi.com/2076-0825/13/5/164/pdf?version=1714531504,,download_error: HTTP Error 403: Forbidden
AA77DGFT,An Active Stability Controller Design for E-Drive Articulated Steer Vehicles,no_pdf_url,1.000,An active stability controller design for e-drive articulated steer vehicles,,,
WBXN8ISB,Analysis of Driver Behavior During Reverse Driving of Double Articulated Vehicles,no_match,0.342,The Process of Postmerger Integration: A Review and Agenda for Future Research,,,
IQRZXMA6,Analysis of a Flow Volume Regulated Frame Steering System and Experimental Verifications,download_failed,1.000,Analysis of a Flow Volume Regulated Frame Steering System and Experimental Verifications,https://saemobilus.sae.org/downloads/papers/2015-01-2740/Full%20Text%20PDF,,not_pdf_content_type: text/html; charset=utf-8
GJH9AZ6J,Articulated Hybrid Mobile Robot Mechanism with Compounded Mobility and Manipulation and On-board Wireless Sensor/Actuator Control Interfaces,no_pdf_url,1.000,Articulated hybrid mobile robot mechanism with compounded mobility and manipulation and on-board wireless sensor/actuator control interfaces,,,
FP9SWNA3,Articulated Off-road Vehicle,no_match,0.718,Traction Control for Articulated Off-road Vehicles,,,
EDVKIY9S,Autonomous Inspection System for Underground Pits Using an Articulated Mobile Robot,no_pdf_url,1.000,Autonomous Inspection System for Underground Pits Using an Articulated Mobile Robot,,,
YUVHM6AG,Autonomous Navigation of a Center-Articulated and Hydrostatic Transmission Rover Using a Modified Pure Pursuit Algorithm in a Cotton Field,download_failed,1.000,Autonomous Navigation of a Center-Articulated and Hydrostatic Transmission Rover using a Modified Pure Pursuit Algorithm in a Cotton Field,https://www.mdpi.com/1424-8220/20/16/4412/pdf?version=1597213158,,download_error: HTTP Error 403: Forbidden
4NU5CQJP,Center-Articulated Hydrostatic Cotton Harvesting Rover Using Visual-servoing Control and a Finite State Machine,download_failed,1.000,Center-Articulated Hydrostatic Cotton Harvesting Rover Using Visual-Servoing Control and a Finite State Machine,https://www.mdpi.com/2079-9292/9/8/1226/pdf?version=1596099262,,download_error: HTTP Error 403: Forbidden
XT58JZVD,Concept and Preliminary Simulations of a Driver-aid System for Transport Tasks of Articulated Vehicles with a Hydrostatic Steering System,download_failed,1.000,Concept and Preliminary Simulations of a Driver-Aid System for Transport Tasks of Articulated Vehicles with a Hydrostatic Steering System,https://www.mdpi.com/2076-3417/10/17/5747/pdf?version=1597925239,,download_error: HTTP Error 403: Forbidden
